id,titulo,texto,categoria
168,Cassandra a Gran Escala (Cohorte 4),Bases de datos distribuidas y altamente disponibles para Big Data.,Bases de Datos
169,Introducción a Python (Cohorte 4),"Variables, funciones, estructuras de control y sintaxis básica.",Python
170,Python Avanzado (Cohorte 4),"Decoradores, generadores, programación concurrente y metaprogramación.",Python
171,Django Web Framework (Cohorte 4),Desarrollo de aplicaciones web robustas con el framework Django.,Python
172,FastAPI para Microservicios (Cohorte 4),Creación de APIs REST rápidas y eficientes con tipado de datos.,Python
173,Análisis de Datos con Pandas (Cohorte 4),"Manipulación, limpieza y análisis exploratorio de datos.",Python
174,Web Scraping con BeautifulSoup (Cohorte 4),Extracción de datos e información desde páginas web.,Python
175,Automatización con Python (Cohorte 4),Creación de scripts para automatizar tareas repetitivas en el sistema.,Python
176,Pruebas Unitarias en Python (Cohorte 4),Uso de pytest y unittest para asegurar la calidad del código.,Python
177,Spring Boot APIs (Cohorte 4),Desarrollo de servicios Java Spring REST eficientes y escalables.,Backend
178,Node.js y Express (Cohorte 4),Construcción de servidores backend rápidos utilizando JavaScript.,Backend
179,Arquitectura de Microservicios (Cohorte 4),Diseño e implementación de sistemas distribuidos y desacoplados.,Backend
180,GraphQL Avanzado (Cohorte 4),Implementación de APIs con GraphQL y optimización de consultas.,Backend
181,Seguridad con OAuth2 (Cohorte 4),Protección de APIs mediante tokens JWT y flujos de autenticación.,Backend
182,NestJS Framework (Cohorte 4),Desarrollo backend estructurado y escalable con TypeScript.,Backend
183,Estrategias de Caching con Redis (Cohorte 4),Optimización del rendimiento web mediante caché en memoria.,Backend
184,Patrones de Diseño Backend (Cohorte 4),Aplicación de patrones de arquitectura y diseño de software limpio.,Backend
185,Docker Básico (Cohorte 4),"Gestión de contenedores, creación de imágenes y Docker Compose.",DevOps
186,Kubernetes en Producción (Cohorte 4),"Orquestación de contenedores, despliegue, escalado y alta disponibilidad.",DevOps
187,CI/CD con GitHub Actions (Cohorte 4),Automatización de flujos de integración y despliegue continuo.,DevOps
188,Terraform Infrastructure as Code (Cohorte 4),Gestión y aprovisionamiento de infraestructura en la nube como código.,DevOps
189,Monitoreo con Prometheus y Grafana (Cohorte 4),Configuración de métricas y tableros de visualización del sistema.,DevOps
190,Ansible Automatización (Cohorte 4),Configuración y gestión de servidores de forma automatizada.,DevOps
191,Linux para Administradores (Cohorte 4),"Comandos esenciales, seguridad y administración de servidores Linux.",DevOps
192,Seguridad en Cloud (DevSecOps) (Cohorte 4),Integración de prácticas de seguridad en el ciclo de vida de DevOps.,DevOps
193,Power BI (Cohorte 4),"Modelado de datos, creación de reportes y visualización interactiva.",BI
194,Tableau para Principiantes (Cohorte 4),Conexión a fuentes de datos y diseño de dashboards ejecutivos.,BI
195,Modelado de Datos Dimensional (Cohorte 4),Diseño de esquemas en estrella y copo de nieve para Data Warehouse.,BI
196,DAX Avanzado en Power BI (Cohorte 4),Fórmulas y funciones complejas para análisis de datos avanzado.,BI
197,ETL con Talend (Cohorte 4),"Extracción, transformación y carga de datos desde múltiples fuentes.",BI
198,SQL para Business Intelligence (Cohorte 4),"Consultas avanzadas, agregaciones y análisis de bases de datos.",BI
199,Google Looker Studio (Cohorte 4),Creación de reportes dinámicos e informes visuales en la nube.,BI
200,Excel Avanzado para Analistas (Cohorte 4),"Tablas dinámicas, macros, Power Query y funciones financieras.",BI
201,TensorFlow (Cohorte 5),Entrenamiento de redes neuronales y modelos de aprendizaje profundo.,IA
202,Machine Learning con Scikit-Learn (Cohorte 5),"Algoritmos de clasificación, regresión y clustering tradicionales.",IA
203,Deep Learning con PyTorch (Cohorte 5),Construcción de arquitecturas de redes complejas y redes de convolución.,IA
204,Procesamiento de Lenguaje Natural (Cohorte 5),"Análisis de texto, embeddings, modelos GPT y transformers.",IA
205,Visión por Computadora con OpenCV (Cohorte 5),"Detección de objetos, procesamiento de imágenes y video en tiempo real.",IA
206,Modelos de Lenguaje Grandes (LLMs) (Cohorte 5),Fine-tuning y despliegue de modelos masivos de IA.,IA
207,Sistemas de Recomendación (Cohorte 5),Algoritmos de filtrado colaborativo y basados en contenido.,IA
208,MLOps con MLflow (Cohorte 5),"Ciclo de vida, registro y despliegue de modelos de Machine Learning.",IA
209,React.js Esencial (Cohorte 5),"Componentes, hooks, estado y ciclo de vida en aplicaciones web.",Frontend
210,Vue.js 3 y Composition API (Cohorte 5),Desarrollo frontend moderno y reactivo con Vue.,Frontend
